vid,uid,s_min,s_sec,a_obj,split,label
CNNb34fs-mU,CNNb34fs-mU_240000_250000,4,0,man_duck,train,v2
CNTHkqnYEN0,CNTHkqnYEN0_112000_122000,1,52,woman_man_ukulele,train,v2
coimtgYRHYM,coimtgYRHYM_42000_52000,0,42,drum_guitar,train,v2
coimtgYRHYM,coimtgYRHYM_70000_80000,1,10,drum_guitar_man,train,v2
coimtgYRHYM,coimtgYRHYM_137000_147000,2,17,drum_guitar_man,train,v2
coimtgYRHYM,coimtgYRHYM_187000_197000,3,7,drum_guitar,train,v2
coimtgYRHYM,coimtgYRHYM_220000_230000,3,40,drum_guitar,train,v2
coimtgYRHYM,coimtgYRHYM_240000_250000,4,0,drum_guitar,train,v2
coimtgYRHYM,coimtgYRHYM_297000_307000,4,57,drum_guitar,train,v2
coimtgYRHYM,coimtgYRHYM_488000_498000,8,8,drum_guitar,train,v2
coimtgYRHYM,coimtgYRHYM_588000_598000,9,48,drum_guitar,train,v2
coimtgYRHYM,coimtgYRHYM_675000_685000,11,15,drum_guitar_man,train,v2
CpCubAYD3ic,CpCubAYD3ic_225000_235000,3,45,man_clipper,train,v2
CpCubAYD3ic,CpCubAYD3ic_318000_328000,5,18,man_clipper,train,v2
CPiOGMl59L4,CPiOGMl59L4_30000_40000,0,30,guitar_man,train,v2
cPpApTTEH-g,cPpApTTEH-g_100000_110000,1,40,handpan_guitar_violin,test,v2
CSFG8IMGa1U,CSFG8IMGa1U_10000_20000,0,10,girl_guitar_man,train,v2
CSFG8IMGa1U,CSFG8IMGa1U_20000_30000,0,20,girl_guitar,train,v2
CSFG8IMGa1U,CSFG8IMGa1U_60000_70000,1,0,girl_guitar,train,v2
CtajDX5eOQU,CtajDX5eOQU_70000_80000,1,10,guitar_man,train,v2
CtajDX5eOQU,CtajDX5eOQU_389000_399000,6,29,guitar_man,train,v2
CtajDX5eOQU,CtajDX5eOQU_633000_643000,10,33,accordion_drum_guitar,train,v2
CtajDX5eOQU,CtajDX5eOQU_736000_746000,12,16,accordion_guitar_man,train,v2
CtajDX5eOQU,CtajDX5eOQU_887000_897000,14,47,accordion_guitar_man,train,v2
CtajDX5eOQU,CtajDX5eOQU_989000_999000,16,29,accordion_drum_guitar_man,train,v2
cTl8dX5AWPU,cTl8dX5AWPU_11000_21000,0,11,tabla_piano,train,v2
cupqcZEZdy4,cupqcZEZdy4_17000_27000,0,17,harmonica_guitar,val,v2
cupqcZEZdy4,cupqcZEZdy4_135000_145000,2,15,harmonica_guitar,val,v2
cupqcZEZdy4,cupqcZEZdy4_314000_324000,5,14,harmonica_man,val,v2
cupqcZEZdy4,cupqcZEZdy4_425000_435000,7,5,harmonica_man,val,v2
cupqcZEZdy4,cupqcZEZdy4_601000_611000,10,1,harmonica_man,val,v2
cupqcZEZdy4,cupqcZEZdy4_747000_757000,12,27,harmonica_guitar_man,val,v2
cupqcZEZdy4,cupqcZEZdy4_780000_790000,13,0,harmonica_guitar,val,v2
cupqcZEZdy4,cupqcZEZdy4_995000_1005000,16,35,harmonica_guitar,val,v2
cupqcZEZdy4,cupqcZEZdy4_1085000_1095000,18,5,harmonica_guitar_man,val,v2
cupqcZEZdy4,cupqcZEZdy4_1199000_1209000,19,59,harmonica_man,val,v2
cupqcZEZdy4,cupqcZEZdy4_1281000_1291000,21,21,harmonica_guitar,val,v2
CXURB6fdBmg,CXURB6fdBmg_122000_132000,2,2,boy_ukulele,train,v2
CXURB6fdBmg,CXURB6fdBmg_146000_156000,2,26,boy_ukulele,train,v2
cze6BFNRMSw,cze6BFNRMSw_55000_65000,0,55,woman_guitar_man,test,v2
d3J_aYbTaEE,d3J_aYbTaEE_28000_38000,0,28,flute_violin,train,v2
d7AhXsnE97g,d7AhXsnE97g_105000_115000,1,45,piano_saxophone,test,v2
d7AhXsnE97g,d7AhXsnE97g_600000_610000,10,0,piano_saxophone,test,v2
d7GbmsUQBWE,d7GbmsUQBWE_50000_60000,0,50,tuba_trumpet_trombone,train,v2
D8H9mRHTvso,D8H9mRHTvso_30000_40000,0,30,piano_bassoon_clarinet,val,v2
d8pT6j0MIDc,d8pT6j0MIDc_12000_22000,0,12,car_man_elephant,train,v2
D9iDARHSO6M,D9iDARHSO6M_23000_33000,0,23,flute_guitar,train,v2
D9iDARHSO6M,D9iDARHSO6M_74000_84000,1,14,flute_guitar,train,v2
D9iDARHSO6M,D9iDARHSO6M_119000_129000,1,59,flute_guitar,train,v2
D9LbDE-1FLQ,D9LbDE-1FLQ_60000_70000,1,0,girl_guitar,val,v2
D9LbDE-1FLQ,D9LbDE-1FLQ_172000_182000,2,52,girl_guitar,val,v2
dDZDnj6vQSo,dDZDnj6vQSo_10000_20000,0,10,piano_guitar,train,v2
dDZDnj6vQSo,dDZDnj6vQSo_60000_70000,1,0,piano_guitar,train,v2
dDZDnj6vQSo,dDZDnj6vQSo_95000_105000,1,35,piano_guitar,train,v2
dDZDnj6vQSo,dDZDnj6vQSo_119000_129000,1,59,piano_guitar,train,v2
dDZDnj6vQSo,dDZDnj6vQSo_199000_209000,3,19,piano_guitar,train,v2
DE-MJRuHKQ4,DE-MJRuHKQ4_30000_40000,0,30,girl_guitar,val,v2
DE-MJRuHKQ4,DE-MJRuHKQ4_64000_74000,1,4,girl_guitar,val,v2
DE-MJRuHKQ4,DE-MJRuHKQ4_150000_160000,2,30,girl_guitar,val,v2
df9QQ3leJzk,df9QQ3leJzk_8000_18000,0,8,flute_piano,train,v2
df9QQ3leJzk,df9QQ3leJzk_180000_190000,3,0,flute_piano,train,v2
dFoGPhpDU3k,dFoGPhpDU3k_68000_78000,1,8,flute_bassoon_clarinet,train,v2
dFoGPhpDU3k,dFoGPhpDU3k_211000_221000,3,31,flute_bassoon_clarinet,train,v2
dFoGPhpDU3k,dFoGPhpDU3k_260000_270000,4,20,flute_bassoon_clarinet,train,v2
dh2qX9nQIYI,dh2qX9nQIYI_30000_40000,0,30,tuba_piano,train,v2
DHf2o8kYrBU,DHf2o8kYrBU_10000_20000,0,10,piano_drum_guitar_boy,train,v2
DHf2o8kYrBU,DHf2o8kYrBU_60000_70000,1,0,drum_piano_guitar_boy,train,v2
DHf2o8kYrBU,DHf2o8kYrBU_110000_120000,1,50,piano_drum_guitar_boy,train,v2
dIMI_zGRuOg,dIMI_zGRuOg_15000_25000,0,15,woman_guitar,train,v2
dIMI_zGRuOg,dIMI_zGRuOg_40000_50000,0,40,woman_guitar,train,v2
djnvyhqRRjE,djnvyhqRRjE_80000_90000,1,20,pig_man,train,v2
djnvyhqRRjE,djnvyhqRRjE_90000_100000,1,30,pig_girl_man,train,v2
djnvyhqRRjE,djnvyhqRRjE_120000_130000,2,0,pig_girl_man,train,v2
djnvyhqRRjE,djnvyhqRRjE_130000_140000,2,10,pig_girl_man_woman,train,v2
djnvyhqRRjE,djnvyhqRRjE_140000_150000,2,20,woman_girl,train,v2
djnvyhqRRjE,djnvyhqRRjE_265000_275000,4,25,pig_man,train,v2
djnvyhqRRjE,djnvyhqRRjE_290000_300000,4,50,pig_man,train,v2
dk_xhLkWyDo,dk_xhLkWyDo_30000_40000,0,30,woman_piano,train,v2
dMfDny49sio,dMfDny49sio_30000_40000,0,30,woman_piano,train,v2
DNf0VD3rOgM,DNf0VD3rOgM_300000_310000,5,0,piano_violin,train,v2
DNf0VD3rOgM,DNf0VD3rOgM_865000_875000,14,25,piano_violin,train,v2
DNL3khFeVJ4,DNL3khFeVJ4_23000_33000,0,23,cello_violin_clarinet,test,v2
DNL3khFeVJ4,DNL3khFeVJ4_50000_60000,0,50,cello_violin_clarinet,test,v2
DOe5REXClL8,DOe5REXClL8_9000_19000,0,9,accordion_piano,train,v2
DOe5REXClL8,DOe5REXClL8_60000_70000,1,0,accordion_piano,train,v2
DpPaSgNtfoQ,DpPaSgNtfoQ_22000_32000,0,22,cello_violin,test,v2
DPUy0FJmhHY,DPUy0FJmhHY_20000_30000,0,20,guitar_man,train,v2
DPUy0FJmhHY,DPUy0FJmhHY_40000_50000,0,40,guitar_man,train,v2
DPUy0FJmhHY,DPUy0FJmhHY_75000_85000,1,15,guitar_man,train,v2
DQ1ipAzV9Gk,DQ1ipAzV9Gk_0_10000,0,0,woman_boy,train,v2
DQ1ipAzV9Gk,DQ1ipAzV9Gk_368000_378000,6,8,woman_boy,train,v2
DQ1ipAzV9Gk,DQ1ipAzV9Gk_380000_390000,6,20,woman_boy,train,v2
Dr_bvX-Yjxk,Dr_bvX-Yjxk_10000_20000,0,10,drum_guitar,train,v2
Dr_bvX-Yjxk,Dr_bvX-Yjxk_340000_350000,5,40,drum_guitar,train,v2
Dr_bvX-Yjxk,Dr_bvX-Yjxk_445000_455000,7,25,drum_guitar,train,v2
dRRDO55jK40,dRRDO55jK40_31000_41000,0,31,cello_violin,train,v2
dRRDO55jK40,dRRDO55jK40_46000_56000,0,46,cello_violin,train,v2
DssK8C9eesY,DssK8C9eesY_0_10000,0,0,woman_bird,train,v2
DssK8C9eesY,DssK8C9eesY_10000_20000,0,10,woman_bird,train,v2
DssK8C9eesY,DssK8C9eesY_75000_85000,1,15,woman_bird,train,v2
dTA2yN4TK3s,dTA2yN4TK3s_10000_20000,0,10,flute_piano_clarinet,test,v2
dTA2yN4TK3s,dTA2yN4TK3s_40000_50000,0,40,flute_piano_clarinet,test,v2
DtH5pDjc0Cg_4,DtH5pDjc0Cg_4,0,0,piano_man,train,v1m
DtH5pDjc0Cg_5,DtH5pDjc0Cg_5,0,0,man_piano,val,v1m
dUcOkRkz6bA,dUcOkRkz6bA_115000_125000,1,55,harmonica_guitar,train,v2
dUcOkRkz6bA,dUcOkRkz6bA_145000_155000,2,25,woman_guitar,train,v2
dUcOkRkz6bA,dUcOkRkz6bA_293000_303000,4,53,drum_guitar_man,train,v2
dUcOkRkz6bA,dUcOkRkz6bA_387000_397000,6,27,drum_guitar_man,train,v2
DVz1tXstkNo_0,DVz1tXstkNo_0,0,0,dog_woman,train,v1m
dW2utwg9oOg,dW2utwg9oOg_270000_280000,4,30,guitar_parrot,train,v2
DwjnG0cw6CU,DwjnG0cw6CU_0_10000,0,0,accordion_drum_saxophone_guitar,train,v2
e-Gj65cEGZY,e-Gj65cEGZY_15000_25000,0,15,flute_violin,test,v2
e-Gj65cEGZY,e-Gj65cEGZY_180000_190000,3,0,flute_violin,test,v2
E2E_NuOINN4,E2E_NuOINN4_135000_145000,2,15,woman_man,train,v2
E2E_NuOINN4,E2E_NuOINN4_155000_165000,2,35,woman_man,train,v2
E2E_NuOINN4,E2E_NuOINN4_190000_200000,3,10,woman_man,train,v2
E2E_NuOINN4,E2E_NuOINN4_210000_220000,3,30,woman_man,train,v2
E2E_NuOINN4,E2E_NuOINN4_290000_300000,4,50,woman_man,train,v2
E2E_NuOINN4,E2E_NuOINN4_325000_335000,5,25,woman_man,train,v2
E2E_NuOINN4,E2E_NuOINN4_360000_370000,6,0,woman_man,train,v2
E2E_NuOINN4,E2E_NuOINN4_410000_420000,6,50,woman_man,train,v2
E38OzFQIb1M,E38OzFQIb1M_10000_20000,0,10,piano_cello,train,v2
E38OzFQIb1M,E38OzFQIb1M_230000_240000,3,50,piano_cello,train,v2
e45LHaGNIlE,e45LHaGNIlE_93000_103000,1,33,gun_man,train,v2
e5zwPj0IXTo,e5zwPj0IXTo_1000_11000,0,1,woman_piano,train,v2
e9SrAgHZcbg,e9SrAgHZcbg_7000_17000,0,7,drum_piano_guitar,train,v2
e9SrAgHZcbg,e9SrAgHZcbg_37000_47000,0,37,drum_piano_guitar_woman,train,v2
e9SrAgHZcbg,e9SrAgHZcbg_60000_70000,1,0,piano_woman_guitar,train,v2
e9SrAgHZcbg,e9SrAgHZcbg_82000_92000,1,22,piano_woman_guitar_drum,train,v2
e9SrAgHZcbg,e9SrAgHZcbg_120000_130000,2,0,piano_woman_guitar_drum,train,v2
EaiDrFP_eX4,EaiDrFP_eX4_37000_47000,0,37,cello_saxophone_drum_piano_trumpet,train,v2
EaiDrFP_eX4,EaiDrFP_eX4_61000_71000,1,1,cello_saxophone_drum_piano_trumpet,train,v2
eAYGUMMEvyI,eAYGUMMEvyI_185000_195000,3,5,woman_girl,train,v2
eAzfhxcAICs,eAzfhxcAICs_70000_80000,1,10,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_80000_90000,1,20,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_90000_100000,1,30,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_100000_110000,1,40,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_110000_120000,1,50,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_120000_130000,2,0,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_130000_140000,2,10,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_140000_150000,2,20,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_150000_160000,2,30,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_160000_170000,2,40,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_170000_180000,2,50,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_180000_190000,3,0,man_goose,train,v2
eAzfhxcAICs,eAzfhxcAICs_460000_470000,7,40,duck_goose,train,v2
eBJNfTCe1v0,eBJNfTCe1v0_231000_241000,3,51,woman_man_clipper,train,v2
EC0qFS6IdIs,EC0qFS6IdIs,0,0,woman_bird,train,v1m
ECTWcijfAzw,ECTWcijfAzw_510000_520000,8,30,man_gun,train,v2
ECTWcijfAzw,ECTWcijfAzw_773000_783000,12,53,gun_man,train,v2
eCyjN28hHVE,eCyjN28hHVE,0,0,guitar_woman,train,v1m
EDV5ily2DNk,EDV5ily2DNk_60000_70000,1,0,tuba_trombone,train,v2
EDV5ily2DNk,EDV5ily2DNk_110000_120000,1,50,tuba_trombone,train,v2
EecV3ZJZ7sQ,EecV3ZJZ7sQ_65000_75000,1,5,woman_guitar_man,train,v2
EecV3ZJZ7sQ,EecV3ZJZ7sQ_110000_120000,1,50,woman_guitar_man,train,v2
EfbwYmknB3Q,EfbwYmknB3Q_312000_322000,5,12,flute_piano,train,v2
EHu9hN1Z9Ms,EHu9hN1Z9Ms_70000_80000,1,10,woman_guitar,val,v2
eHUzcHoBrJE,eHUzcHoBrJE_6000_16000,0,6,accordion_guitar_man,train,v2
eHUzcHoBrJE,eHUzcHoBrJE_70000_80000,1,10,accordion_guitar_man,train,v2
EJ3wkoW2_J8,EJ3wkoW2_J8_16000_26000,0,16,accordion_guitar_woman_man_drum,train,v2
EJH1P38lOJU,EJH1P38lOJU_421000_431000,7,1,tabla_sitar,train,v2
EJH1P38lOJU,EJH1P38lOJU_555000_565000,9,15,tabla_sitar,train,v2
eK3T8tH3Y9E,eK3T8tH3Y9E_24000_34000,0,24,woman_gun,test,v2
eK3T8tH3Y9E,eK3T8tH3Y9E_93000_103000,1,33,gun_man,test,v2
eK3T8tH3Y9E,eK3T8tH3Y9E_134000_144000,2,14,gun_man,test,v2
EKM1wu2vXy4,EKM1wu2vXy4_26000_36000,0,26,woman_ukulele,val,v2
eKOjqT08so8,eKOjqT08so8_0_10000,0,0,tabla_piano_man,train,v2
ElOVPqC_kRc_0,ElOVPqC_kRc_0,0,0,guitar_violin,val,v1m
ElOVPqC_kRc_1,ElOVPqC_kRc_1,0,0,guitar_violin_lion,train,v1m
ELZzyhWMdqA_2,ELZzyhWMdqA_2,0,0,piano_tabla_guitar,train,v1m
ELZzyhWMdqA_3,ELZzyhWMdqA_3,0,0,piano_tabla,train,v1m
emLStHiqfyo,emLStHiqfyo_10000_20000,0,10,piano_violin,train,v2
emLStHiqfyo,emLStHiqfyo_90000_100000,1,30,piano_violin,train,v2
emLStHiqfyo,emLStHiqfyo_135000_145000,2,15,piano_violin,train,v2
emLStHiqfyo,emLStHiqfyo_190000_200000,3,10,piano_violin,train,v2
emLStHiqfyo_0,emLStHiqfyo_0,0,0,piano_violin,train,v1m
emLStHiqfyo_1,emLStHiqfyo_1,0,0,violin_piano,train,v1m
EMTM6gxHUUA,EMTM6gxHUUA_2000_12000,0,2,woman_boat,train,v2
EnpqqJXs0aY_2,EnpqqJXs0aY_2,0,0,baby_woman,test,v1m
ENPyjh3CXic,ENPyjh3CXic_35000_45000,0,35,woman_guitar,train,v2
EoNMhVHN57E_0,EoNMhVHN57E_0,0,0,guitar_violin,train,v1m
eTeLsJ0DEaM,eTeLsJ0DEaM_43000_53000,0,43,tabla_man,train,v2
Etils5_FXL4,Etils5_FXL4_2000_12000,0,2,guitar_man,val,v2
Etils5_FXL4,Etils5_FXL4_60000_70000,1,0,guitar_man,val,v2
ETmo71vP7tA,ETmo71vP7tA_20000_30000,0,20,piano_clarinet,train,v2
eUPIZHSpPes,eUPIZHSpPes_28000_38000,0,28,woman_guitar,train,v2
eUPIZHSpPes,eUPIZHSpPes_53000_63000,0,53,woman_guitar,train,v2
eUPIZHSpPes,eUPIZHSpPes_195000_205000,3,15,woman_guitar,train,v2
EuU2PWB1t2g,EuU2PWB1t2g_20000_30000,0,20,piano_cello,val,v2
EuU2PWB1t2g,EuU2PWB1t2g_61000_71000,1,1,piano_cello,val,v2
ev9tWX_15uE,ev9tWX_15uE_10000_20000,0,10,guitar_man,train,v2
ev9tWX_15uE,ev9tWX_15uE_50000_60000,0,50,guitar_man,train,v2
EXjmfFyOAqA,EXjmfFyOAqA_30000_40000,0,30,flute_ukulele,train,v2
eYmPTf1913s,eYmPTf1913s_17000_27000,0,17,woman_guitar,train,v2
EzPcuNoSHMM,EzPcuNoSHMM_98000_108000,1,38,clock_man,train,v2
EzPcuNoSHMM,EzPcuNoSHMM_100000_110000,1,40,clock_man,train,v2
f170h57Dips,f170h57Dips_0_10000,0,0,woman_car,train,v2
f170h57Dips,f170h57Dips_104000_114000,1,44,woman_car_man,train,v2
f170h57Dips,f170h57Dips_173000_183000,2,53,woman_car,train,v2
F1x1ck3OySg,F1x1ck3OySg_10000_20000,0,10,flute_guitar,train,v2
F1x1ck3OySg,F1x1ck3OySg_150000_160000,2,30,flute_guitar,train,v2
F3KWGQfJ2HM,F3KWGQfJ2HM_26000_36000,0,26,tuba_piano,train,v2
F4iUOiOBA-M,F4iUOiOBA-M_13000_23000,0,13,tuba_trombone_violin,train,v2
F4iUOiOBA-M,F4iUOiOBA-M_80000_90000,1,20,tuba_trombone_violin,train,v2
f9CvPEQu3KU,f9CvPEQu3KU_71000_81000,1,11,drum_marimba,train,v2
Fa1zhwPTnSY,Fa1zhwPTnSY_183000_193000,3,3,handpan_guitar,train,v2
FBSDQRlBgE0,FBSDQRlBgE0_29000_39000,0,29,bassoon_cello_violin,train,v2
FBSDQRlBgE0,FBSDQRlBgE0_44000_54000,0,44,bassoon_cello_violin,train,v2
FBSDQRlBgE0,FBSDQRlBgE0_310000_320000,5,10,cello_bassoon_violin,train,v2
FBSDQRlBgE0,FBSDQRlBgE0_325000_335000,5,25,cello_bassoon_violin,train,v2
FBSDQRlBgE0,FBSDQRlBgE0_375000_385000,6,15,cello_violin,train,v2
FBSDQRlBgE0,FBSDQRlBgE0_542000_552000,9,2,cello_violin,train,v2
FBSDQRlBgE0,FBSDQRlBgE0_754000_764000,12,34,cello_bassoon_violin,train,v2
FBsYnc6YtWM,FBsYnc6YtWM_7000_17000,0,7,woman_man_boat,test,v2
FBsYnc6YtWM,FBsYnc6YtWM_34000_44000,0,34,woman_man_boat,test,v2
FBsYnc6YtWM,FBsYnc6YtWM_57000_67000,0,57,woman_boat,test,v2
FBsYnc6YtWM,FBsYnc6YtWM_190000_200000,3,10,woman_boat,test,v2
Fdp3CLa1NiQ,Fdp3CLa1NiQ_0_10000,0,0,dog_vacuum-cleaner,train,v2
fGdoGXqgwAI,fGdoGXqgwAI_60000_70000,1,0,piano_cello,train,v2
fGdoGXqgwAI,fGdoGXqgwAI_570000_580000,9,30,piano_cello,train,v2
fGiL5OEzyf8,fGiL5OEzyf8_30000_40000,0,30,woman_guitar,train,v2
fGiL5OEzyf8,fGiL5OEzyf8_80000_90000,1,20,woman_guitar,train,v2
FgNwZuMFQwY_1,FgNwZuMFQwY_1,0,0,marimba_piano,test,v1m
FHBYsLVe3a4,FHBYsLVe3a4_15000_25000,0,15,guitar_pipa,train,v2
FHBYsLVe3a4,FHBYsLVe3a4_83000_93000,1,23,guitar_pipa,train,v2
FHBYsLVe3a4,FHBYsLVe3a4_90000_100000,1,30,guitar_pipa,train,v2
FHBYsLVe3a4,FHBYsLVe3a4_160000_170000,2,40,guitar_pipa,train,v2
FHBYsLVe3a4,FHBYsLVe3a4_184000_194000,3,4,guitar_pipa,train,v2
FhF2q_P-vAA_0,FhF2q_P-vAA_0,0,0,tabla_guitar,test,v1m
fhidsONQ2qY,fhidsONQ2qY_0_10000,0,0,flute_erhu_pipa,train,v2
fhrwGiZrvio,fhrwGiZrvio,0,0,woman_bird,train,v1m
FHSoSamzdAY,FHSoSamzdAY_0_10000,0,0,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_20000_30000,0,20,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_53000_63000,0,53,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_262000_272000,4,22,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_290000_300000,4,50,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_469000_479000,7,49,accordion_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_690000_700000,11,30,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_775000_785000,12,55,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_790000_800000,13,10,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_800000_810000,13,20,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_845000_855000,14,5,guitar_violin,train,v2
FHSoSamzdAY,FHSoSamzdAY_873000_883000,14,33,guitar_violin,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_2000_12000,0,2,harmonica_guitar,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_10000_20000,0,10,harmonica_guitar,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_26000_36000,0,26,harmonica_guitar,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_50000_60000,0,50,guitar_man,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_52000_62000,0,52,harmonica_guitar_man,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_98000_108000,1,38,harmonica_guitar,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_100000_110000,1,40,harmonica_guitar,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_167000_177000,2,47,harmonica_guitar_man,train,v2
FIhVf0y5SP4,FIhVf0y5SP4_191000_201000,3,11,harmonica_guitar,train,v2
fKwJLTTW2uM,fKwJLTTW2uM_25000_35000,0,25,guitar_boy,train,v2
fKwJLTTW2uM,fKwJLTTW2uM_53000_63000,0,53,guitar_boy,train,v2
fKwJLTTW2uM,fKwJLTTW2uM_63000_73000,1,3,guitar_boy,train,v2
fKwJLTTW2uM,fKwJLTTW2uM_78000_88000,1,18,guitar_boy,train,v2
fLaiPBMG61E,fLaiPBMG61E_90000_100000,1,30,piano_erhu,test,v2
fLaiPBMG61E,fLaiPBMG61E_100000_110000,1,40,piano_erhu,test,v2
fLaiPBMG61E,fLaiPBMG61E_310000_320000,5,10,piano_erhu,test,v2
fLaiPBMG61E,fLaiPBMG61E_321000_331000,5,21,piano_erhu,test,v2
fLaiPBMG61E,fLaiPBMG61E_372000_382000,6,12,piano_erhu,test,v2
fLi3uQN1yC0,fLi3uQN1yC0_0_10000,0,0,flute_piano,train,v2
fLi3uQN1yC0,fLi3uQN1yC0_30000_40000,0,30,flute_piano,train,v2
FLqDjfVyBUg,FLqDjfVyBUg_10000_20000,0,10,woman_ukulele,train,v2
fMrnCmr2PRw,fMrnCmr2PRw_30000_40000,0,30,truck_man,test,v2
FMx1BqhCDIk,FMx1BqhCDIk_20000_30000,0,20,guitar_man,train,v2
FMx1BqhCDIk,FMx1BqhCDIk_90000_100000,1,30,guitar_man,train,v2
fPOWwvB6uLQ,fPOWwvB6uLQ_51000_61000,0,51,lion_woman_man,train,v2
FsSl_rq6X44,FsSl_rq6X44_44000_54000,0,44,girl_guitar,train,v2
FsSl_rq6X44,FsSl_rq6X44_158000_168000,2,38,drum_guitar,train,v2
FsSl_rq6X44,FsSl_rq6X44_170000_180000,2,50,drum_guitar,train,v2
FsSl_rq6X44,FsSl_rq6X44_188000_198000,3,8,girl_guitar_drum,train,v2
FsSl_rq6X44,FsSl_rq6X44_200000_210000,3,20,drum_guitar_girl,train,v2
FsSl_rq6X44,FsSl_rq6X44_220000_230000,3,40,girl_guitar_drum,train,v2
FsSl_rq6X44,FsSl_rq6X44_240000_250000,4,0,drum_guitar_girl,train,v2
FsSl_rq6X44,FsSl_rq6X44_250000_260000,4,10,drum_guitar_girl,train,v2
FTqJzg71UFg,FTqJzg71UFg_15000_25000,0,15,guitar_man,train,v2
fvK8_OlcrCo,fvK8_OlcrCo_15000_25000,0,15,tuba_piano,train,v2
fvK8_OlcrCo,fvK8_OlcrCo_40000_50000,0,40,tuba_piano,train,v2
fvK8_OlcrCo,fvK8_OlcrCo_91000_101000,1,31,piano_tuba,train,v2
fvK8_OlcrCo,fvK8_OlcrCo_328000_338000,5,28,tuba_piano,train,v2
fVqjdaoC9lY,fVqjdaoC9lY_90000_100000,1,30,duck_goose,val,v2
fwMn_vv6ydU,fwMn_vv6ydU_0_10000,0,0,flute_erhu,val,v2
g0PPd8SeCI4,g0PPd8SeCI4_5000_15000,0,5,tuba_trumpet,train,v2
G1eqZOZe5y4,G1eqZOZe5y4_1000_11000,0,1,drum_piano_guitar,train,v2
G1eqZOZe5y4,G1eqZOZe5y4_45000_55000,0,45,drum_piano_guitar_man,train,v2
G1eqZOZe5y4,G1eqZOZe5y4_75000_85000,1,15,piano_drum_guitar,train,v2
g43bR5DCgEc,g43bR5DCgEc_40000_50000,0,40,guitar_man,train,v2
g43bR5DCgEc,g43bR5DCgEc_64000_74000,1,4,guitar_man,train,v2
G7JnEZ7K10M,G7JnEZ7K10M_8000_18000,0,8,woman_guitar,train,v2
G7JnEZ7K10M,G7JnEZ7K10M_47000_57000,0,47,woman_guitar,train,v2
G8YSz3L1R3M,G8YSz3L1R3M_75000_85000,1,15,boy_vacuum-cleaner,train,v2
GADqM956KEs,GADqM956KEs_214000_224000,3,34,guitar_man,test,v2
GADqM956KEs,GADqM956KEs_365000_375000,6,5,woman_guitar_man,test,v2
GADqM956KEs,GADqM956KEs_492000_502000,8,12,guitar_man,test,v2
GADqM956KEs,GADqM956KEs_691000_701000,11,31,guitar_man,test,v2
GADqM956KEs,GADqM956KEs_843000_853000,14,3,guitar_man,test,v2
gAf1QWvKNRE,gAf1QWvKNRE_6000_16000,0,6,man_gun,train,v2
gAf1QWvKNRE,gAf1QWvKNRE_262000_272000,4,22,man_gun,train,v2
gAf1QWvKNRE,gAf1QWvKNRE_335000_345000,5,35,man_gun,train,v2
gaJSvq73G5E,gaJSvq73G5E_5000_15000,0,5,guitar_man,train,v2
gbB_kh12xa8,gbB_kh12xa8_350000_360000,5,50,piano_trombone,train,v2
gBgVH390Tvg,gBgVH390Tvg_0_10000,0,0,woman_donkey,test,v2
GcMG3SqzHTc,GcMG3SqzHTc_25000_35000,0,25,woman_man,test,v2
gdjRxuFIbn0,gdjRxuFIbn0_113000_123000,1,53,flute_drum_handpan,train,v2
gdjRxuFIbn0,gdjRxuFIbn0_159000_169000,2,39,flute_drum_handpan,train,v2
gdjRxuFIbn0,gdjRxuFIbn0_208000_218000,3,28,flute_drum_handpan,train,v2
